ADD 34 18 1
ADDF 34 58 1
ADDR 2 90 2
AND 34 40 1
CLEAR 2 B4 1
COMP 34 28 1
COMPF 34 88 1
COMPR 2 A0 2
DIV 34 24 1
DIVF 34 64 1
DIVR 2 9C 2
FIX 1 C4 0
FLOAT 1 C0 0
HIO 1 F4 0
J 34 3C 1
JEQ 34 30 1
JGT 34 34 1
JLT 34 38 1
JSUB 34 48 1
LDA 34 00 1
LDB 34 68 1
LDCH 34 50 1
LDF 34 70 1
LDL 34 08 1
LDS 34 6C 1
LDT 34 74 1
LDX 34 04 1
LPS 34 D0 1
MUL 34 20 1
MULF 34 60 1
NULR 2 98 2
NORM 1 C8 0
OR 34 44 1
RD 34 D8 1
RMO 2 AC 2
RSUB 34 4C 0
SHIFTL 2 A4 2
SHIFTR 2 A8 2
SIO 1 F0 0
SSK 34 EC 1
STA 34 0C 1
STB 34 78 1
STCH 34 54 1
STF 34 80 1
STI 34 D4 1
STL 34 14 1
STS 34 7C 1
STSW 34 E8 1
STT 34 84 1
STX 34 10 1
SUB 34 1C 1
SUBF 34 5C 1
SUBR 2 94 2
SVC 2 B0 1
TD 34 E0 1
TIO 1 F8 0
TIX 34 2C 1
TIXR 2 B8 1
WD 34 DC 1 
